slug,teamName,abbreviation,seasonMin,seasonMax,seasonCount,playerSeasonRows
sc-state,"SC State",SS,2018-19,2025-26,8,120
schreiner,"Schreiner",SCHREI,2011-12,2024-25,9,144
sd-mines,"SD Mines",SM,2023-24,2024-25,2,23
sdcc,"SDCC",SDCC,2018-19,2020-21,3,46
sdsu,"SDSU",SDSU,2018-19,2025-26,8,110
se-baptist,"SE Baptist",SB,2019-20,2019-20,1,10
se-louisiana,"SE Louisiana",SL,2010-11,2025-26,16,241
se-missouri-st,"SE Missouri St.",SMS,2010-11,2017-18,8,135
se-oklahoma,"SE Oklahoma",SO,2014-15,2018-19,4,46
seattle,"Seattle",SEATTL,2010-11,2025-26,16,237
seattle-pacific,"Seattle Pacific",SP,2024-25,2024-25,1,12
selma,"Selma",SELMA,2013-14,2016-17,3,32
semo,"SEMO",SEMO,2018-19,2025-26,8,100
seton-hall,"Seton Hall",SH,2010-11,2025-26,16,235
seton-hill,"Seton Hill",SH,2015-16,2015-16,1,10
sewanee,"Sewanee",SEWANE,2013-14,2018-19,3,36
sf-austin,"SF Austin",SA,2010-11,2025-26,16,259
sf-state,"SF State",SS,2019-20,2024-25,3,43
sfc,"SFC",SFC,2018-19,2022-23,5,58
sfu,"SFU",SFU,2018-19,2025-26,8,122
shawnee-st,"Shawnee St.",SS,2011-12,2024-25,5,61
shenandoah,"Shenandoah",SHENAN,2011-12,2019-20,8,115
shorter,"Shorter",SHORTE,2019-20,2019-20,1,9
shsu,"SHSU",SHSU,2018-19,2025-26,8,102
shu,"SHU",SHU,2018-19,2024-25,4,48
siena,"Siena",SIENA,2010-11,2025-26,16,255
siena-heights,"Siena Heights",SH,2012-13,2017-18,5,58
silver-lake,"Silver Lake",SL,2015-16,2017-18,2,27
simon-fraser,"Simon Fraser",SF,2017-18,2017-18,1,8
